id,pilar,serie,titulo_post,pagina_destino,prioridade,frequencia_sugerida,sazonalidade
TP-001,Institucional,Conheça o Tempo Pelotas,Tempo Pelotas: sua referência local para acompanhar o tempo,/,Alta,Mensal,Evergreen
TP-002,Institucional,Conheça o Tempo Pelotas,Tudo o que você encontra no Tempo Pelotas,/,Alta,Bimestral,Evergreen
TP-003,Institucional,Conheça o Tempo Pelotas,Previsão + observação local: por que as duas importam,/metodologia,Alta,Trimestral,Evergreen
TP-004,Institucional,Conheça o Tempo Pelotas,Pelotas e Zona Sul em foco,/tempo-na-regiao-sul-rs,Alta,Mensal,Evergreen
TP-005,Institucional,Conheça o Tempo Pelotas,Por que usar uma fonte local de meteorologia?,/metodologia,Alta,Trimestral,Evergreen
TP-006,Institucional,Conheça o Tempo Pelotas,"Antes de sair de casa, confira o Tempo Pelotas",/,Alta,Quinzenal,Evergreen
TP-007,Institucional,Conheça o Tempo Pelotas,Seu fim de semana começa pela previsão,/previsao-7-dias-pelotas,Alta,Semanal,Todo o ano
TP-008,Institucional,Conheça o Tempo Pelotas,O tempo muda. Sua informação também precisa mudar.,/,Alta,Mensal,Evergreen
TP-009,Institucional,Conheça o Tempo Pelotas,Do céu à Lagoa: Tempo Pelotas acompanha a região,/situacao-hidrologica-pelotas,Alta,Bimestral,Evergreen
TP-010,Institucional,Conheça o Tempo Pelotas,"Radar, satélite e trovoadas em um só mapa",/radar-e-satelite-pelotas,Alta,Mensal,Todo o ano
TP-011,Institucional,Conheça o Tempo Pelotas,Acompanhe a Lagoa dos Patos no Laranjal,/nivel-da-lagoa-dos-patos-laranjal,Alta,Quinzenal,Todo o ano
TP-012,Institucional,Conheça o Tempo Pelotas,O que aconteceu com o tempo nos últimos 30 dias?,/historico-climatico-pelotas,Média,Mensal,Todo o ano
TP-013,Institucional,Conheça o Tempo Pelotas,Veja Pelotas ao vivo antes de sair,/cameras-ao-vivo-pelotas,Média,Quinzenal,Todo o ano
TP-014,Institucional,Conheça o Tempo Pelotas,Tempo Pelotas também é transparência,/metodologia,Média,Trimestral,Evergreen
TP-015,Institucional,Conheça o Tempo Pelotas,Salve o Tempo Pelotas nos favoritos,/,Média,Bimestral,Evergreen
